EventNum,PageNum,DialogueNum,Name,Dialogue,Animation,SelectEvent,PassToPage,Quest
1,0,0,,#정문,,,,
1,1,1,???,거기..! 거기 잠시만!,,,,
1,2,2,player,(…? 뭐지? 어디서 들리는 소리지?),,,,
1,3,3,???,이쪽을 봐봐 이쪽! 아래쪽이야 ,,,,
1,4,4,,두둥,,,,
1,5,5,???,드디어 봤네! 안녕!,,,,
1,6,6,???,너는… 계명대학교 학생이지? 이름이 뭐야?,,,,
1,7,7,,[이름을 입력하세요],,,,
1,8,8,비사,"player(이)라고 하는구나- 반가워! 나는 계명대학교를 지키는 계명대학교의 상징, 비사라고 해!",,0,,
1,9,9,비사,응! 안녕? 나처럼 멋있는 날개 달린 사자는 처음 보지?,Nodding,1,,
1,10,10,비사,"갑자기 말 걸어서 당황했지? 그 마음 알아, 나처럼 멋있는 날개 달린 사자는 처음 봤을거야",Nodding,1,,
1,11,11,비사,어? 그런데 뭔가 허전한데…,,,,
1,12,12,비사,헉! 맞아! 내 날개!!! 내 멋진 날개가 사라졌어!!,Crying,,,
1,13,13,비사,내가 본관에서 끝내주는 낮잠을 자는 사이에 누가 훔쳐갔지 뭐야… 그래서 널 부른건데!,Crying,,,
1,14,14,player,왜 날 불러?,,,,
1,15,15,비사,왜긴 왜야! 너한테 날개를 찾아달라고 하려고 했지!,,2,,
1,16,16,비사,그 반응은 뭐야?! 나 정말 심각해… 제발 내 날개를 찾게 도와주라,,,,
1,17,17,비사,나는 원래 어디든지 갈 수 있지만 날개가 없이는 힘도 없고 무리야,,3,,
1,18,18,비사,에이- 그러지 말고! ,,,,
1,19,19,비사,내 생각엔 ‘데이먼’이 내 날개를 훔쳐간 것 같아. 언제나 내 멋진 날개를 시기하고 부러워했거든,,,,
1,20,20,비사,데이먼은 내 날개를 쓸 줄 모르니까 아마 멀리 가진 못했을 거야. 이 캠퍼스 안에 있을 거라고!,,,,
1,21,21,비사,…제발 날 도와주라! 보다시피 날개가 없는 나는 다리가 너무 짧아서 힘들어…,,,,
1,22,22,비사,나도 찾아보고 있을테니까 네가 아담스관으로 먼저 가서 내 친구 '애덤'에게 '데이먼'이 어디로 갔는지 물어봐 줄래?,,,,
1,23,23,비사,'애덤'은 행정원이라 정문이랑 가까운 곳에 있으면서 모든 학생들이 지나가는 걸 볼 수 있거든!,,4,,
1,24,24,비사,도와준다고? 정말 고마워!!!,,,,
1,25,25,비사,나도 내 나름대로 이 캠퍼스를 구석구석 다녀볼 테니까 날개를 찾으면 노천 강당에서 만나자!,,,,
1,26,26,비사,그럼 좀 이따 봐 player!,Disappearing,,,1
1,,27,,,,,,
2,0,28,player,저기…,default,,,
2,1,29,애덤,안녕! 뭐 때문에 왔어? Compass K 점수 등록? 토익 성적 등록?,,,,
2,2,30,애덤,여기 미대 행정실은 학생들을 위해 점심시간 빼고 다섯 시까지 운영 중이니 언제든지 와서 물어봐!,,5,,
2,3,31,애덤,"뭐야, 비사가 널 보낸 거야? 나참… 비사는 왜 바쁜 대학생에게 일을 더 만들어 주는 거야?",,,,
2,4,32,애덤,아무튼… 비사의 날개? 뭐?! '데이먼'이 훔쳐 갔다고? 데이먼은 그럴 일을 할 애가 아닌데…,,6,,
2,5,33,애덤,"일단 여기는 아담스관이야! 아담스관은 미술 대학의 행정실과 학장실이 있는 곳이지. 또, 회화과의 실기실도!",,,,
2,6,34,애덤,"그리고 시각디자인, 패션디자인, 패션마케팅학과 학생들도 여기에서 수업을 듣더라고",,,,
2,7,35,애덤,알겠지? 여기는 모든 학생들이 거쳐갈 수 밖에 없는 곳이라고! 그리고 나는…,,,,
2,8,36,애덤,"아담스관의 행정을 담당하는 멋진 커리어치킨, 애덤이지! 이제 여기가 뭐하는 곳인지 알겠어?",,7,,
2,9,37,애덤,"으흠… 어쨌든, 여기 있으면서 모든 학생들을 봤지만 '데이먼'은 본 적이 없어. 그리고 나는 너무 바빠서 그런 일에 신경 쓸 겨를이 없다고!",,,,
2,10,38,애덤,하지만… 윌슨은 여기저기 다니기 좋아하는 아이니 알 지도 모르겠다,,,,
2,11,39,애덤,윌에게 가봐! 지금쯤이면 윌슨관 정원에 있을지도? 위치는 메모장에 적어줄게,,,,2
2,12,40,,애덤이 그려준 윌슨관의 위치이다,,,,
2,,41,,,,,,
3,0,42,player,(어디있지…?),,,,
3,1,43,,두둥,,,,
3,2,44,윌슨,처음 보는 친구다! 안녕?,,,,
3,3,45,윌슨,나는 윌슨이야- 내 친구들은 나를 윌이라고 불러,,,,
3,4,46,윌슨,나처럼 멋진 하얀 털의 고라니는 처음 보지? 아마 비사의 날개보다…,,8,,
3,5,47,윌슨,… 데이먼을 찾는다고? 그걸 왜 나한테 물어?,,,,
3,6,48,player,애덤이 너한테 가보라고 하던데?,,,,
3,7,49,윌슨,뭐? 애덤이 나한테 가보라고 했어? 그 녀석 분명히 귀찮은 일이라 나에게 떠넘긴걸거야!,,,,
3,8,50,윌슨,알려주고는 싶지만… 그러면 너는 금방 가버릴 거잖아? 나랑 대화해!,,,,
3,9,51,윌슨,너 여기는 처음 와보는 거지?,,9,,
3,10,52,윌슨,흥… 내 말을 끊다니,,,54,
3,11,53,윌슨,그래도 들어! 오늘 하루종일 혼자서 심심했단 말이야,,,,
3,12,54,윌슨,여기는 윌슨관이야! 산업디자인과 학생들이 주로 오더라고,,,,
3,13,55,윌슨,"저기 보이는 건물은 쉐턱관인데, 시각디자인과 학생들이 주로 쓰고 있어! 교양 수업도 종종 이 건물의 강의실에서 열려",,,,
3,14,56,윌슨,나중에 원한다면 건물 안을 투어 시켜줄게. 그런데 너 혹시 흡연자야?,,10,,
3,15,57,윌슨,그럴 줄 알았어! 그렇다면 니가 꼭 알아두어야 할 것이 있다고,,,,
3,16,58,윌슨,"이 근처에는 흡연자들을 위해서 지정 흡연 구역도 마련해놓았고, 쉼터도 있어!",,,,
3,17,59,윌슨,니가 그럴거라고는 생각하지 않지만… 이걸 모르고 다른 곳에서 담배를 피는 학생들이 있더라고!,,,61,
3,18,60,윌슨,"그래? 가끔씩 이 근처에 지정 흡연 구역이 있는지도 모르고 길가에서 담배를 피는 학생들이 있길래, 혹시 네가 흡연자면 알려주려고 했는데…",,,,
3,19,61,윌슨,정말 내 코가 다 아프다니까!,,11,,
3,20,62,윌슨,… 데이먼은 못 봤어! 길이 계속 엇갈렸나?,,,,
3,21,63,윌슨,나보다는 '벨'에게 물어보는 게 더 빠를거야! 그 느긋한 토끼는 항상 중앙정원에서 티타임을 즐기니까…,,,,
3,22,64,윌슨,"여기 계단을 올라가면 감부열관과 바우어관이 있는데, 그 주변에 있을거야.",,,,
3,23,65,윌슨,걔한테 가보는 건 어때? 아는 척 해서 미안… 사과의 의미로 약도를 그려줄게! 그리고 다음부터는 나를 윌이라 불러도 좋아,,,,3
3,24,66,윌슨,윌슨이 그려준 약도이다,,,,
3,,67,,,,,,
4,0,68,,(차 마시는 소리),,,,
4,1,69,,두둥,,,,
4,2,70,벨,거기 너! 정신 사납게 하지 말고 앉아 줄래? 나 지금 차 마시고 있잖아,,,,
4,3,71,player,네가 벨이야?,,,,
4,4,72,벨,"그래, 내가 벨이야. 인간들 사이에서도 소문이 났나보구나?",,12,,
4,5,73,벨,"비사의 날개? 아까도 비사가 짧은 다리로 내 말도 무시하고 급하게 달려가던데, 날개를 찾는 거였어?",,,,
4,6,74,벨,"어쨌거나, 난 남은 차를 마저 마셔야 해서 도와줄 수는 없어",,13,,
4,7,75,벨,그래 없어! 이런 곳에서 차에 집중하지 않는 건 실례 아니겠니?,,,77,
4,8,76,벨,"안타깝지만 없는걸- 그것보다 한 잔이 남았는데, 네가 마시고 가지 않을래?",,,,
4,9,77,벨,여기는 봄 여름 항상 예쁜 꽃들로 아름다운 풍경이라 느긋하게 차를 즐기기 딱 좋은 곳이라고,,,,
4,10,78,벨,그것 뿐만이 아니야! 감부열관에서 과제 하는 학생들이 딴 짓 하는 걸 지켜보는 게 꽤나 재미있단 말이지,,,,
4,11,79,player,그렇구나…,,,,
4,12,80,벨,그래! 그리고 지나가는 학생들이 하는 이야기를 듣는 것도 심심하지 않다고,,,,
4,13,81,벨,최근에 들은 건데- 감부열관의 101호실과 크리에이티브 라운지에 과제를 하러 가는 학생들 중에 명부 작성을 안 하는 학생들이 종종 있다지 뭐야?,,,,
4,14,82,벨,"player, 너는 그러지 않을 거지? 101호실이나 크리에이티브 라운지에 갈 때에는 명부를 꼭 작성해야 한다고!",,14,,
4,15,83,벨,"명부를 작성하기 싫다면, 에드워드 시스템에서 예약이라도 하도록 해!",,,,
4,16,84,벨,"음, 잘 알아들은 것 같네. 난 날개가 어디 있는지 모르니 너를 도와줄 수 없지만, 기왕 온 김에 내 부탁도 들어주지 않을래?",,,,
4,17,85,벨,수잔이랑 같이 티타임을 가지기로 했는데 약속 시간이 훨씬 지났어! 대체 수산관에서 가만히 뭘 하고 있는거야!,,,,
4,18,86,벨,걔한테 가서 벨이 기다리고 있으니 얼른 중앙 정원으로 오라고 해 줘! 티타임이 끝나가잖아,,15,,
4,19,87,벨,안 가고 뭐하니? 지도 잊지 말고!,,,,4
4,20,88,,약도와 함께 중앙정원에서 쫓겨났다,,,,
4,,89,,,,,,
5,0,90,수잔,아이 참! 잡기 힘드네! 기다려!,,,,
5,1,91,player,쟤가 수잔인가…?,,16,,
5,2,92,수잔,에잇- 여기 이 나비가 안 잡혀! 이얍!,,17,,
5,3,93,수잔,헉 맞다! 벨이 나를 기다리고 있을텐데 큰일났네,,,,
5,4,94,수잔,벨은 화나면 무서운데… 저 나비가 자꾸 내 눈 앞을 얼쩡거려서 정신이 팔려버렸어,,,,
5,5,95,player,비사의 날개! 그건 나비가 아니고 날개야!,,,,
5,6,96,,날개를 잡는다,,,,
5,7,97,수잔,헉! 비사의 날개라고? 잡았으면 큰일날 뻔 했다-! 너무 동글해서 나비인줄 알았지 뭐야-!,,,,
5,8,98,player,나도 자세히 보지 않으면 몰랐을거야,,,,
5,9,99,수잔,날개를 잡아서 다행이다! 너는 누구야? 어떻게 알고 왔어?,,,,
5,10,100,player,나는 player(이)야. 비사의 날개를 찾는 와중에 벨에게 부탁을 받아서 너에게로 오게 된거야,,,,
5,11,101,수잔,그렇구나~ 나는 수산관 고양이 수잔이야~ 수산관에 와본 적 있어?,,18,,
5,12,102,수잔,상관없어! 여기는 미술대학 1학년이라면 모두 와 보아야 하는 곳이지!,,,,
5,13,103,수잔,"왜냐니? 채플이 이 곳 지하 '미디어아트홀'에서 열리잖아! 네가 신입생인지는 모르겠지만, 1학년이라면 성실히 들으라구!",,,,
5,14,104,수잔,"그리고 영상애니메이션, 패션디자인, 패션마케팅과 학생들이 주로 수업을 들으러 와서 종종 나와 놀아주곤 한다고!",,,,
5,15,105,수잔,"걔네들 이야기를 들어보니까, 프린트는 '2NN호'에서 할 수 있으니 굳이 정문 밖까지 가지 않아도 된다고 하더라?",,,,
5,16,106,수잔,혹시나 니가 먼 걸음 할까봐 이야기해 주는 거야! 그리고 교양 수업도 대부분 여기에서 열려,,,,
5,17,107,수잔,"그러면 나야 사람이 많으면 재미있으니 좋을 것 같았는데, 이렇게 귀여운 나를 쌩 지나쳐버리는 학생들이 있더라고?",,,,
5,18,108,player,왜?,,,,
5,19,109,수잔,"그게, 알고보니 여기가 정문에서 꽤 멀어서 지각하는 바람에 그랬다지 뭐야- 너도 조심해!",,19,,
5,20,110,수잔,혹시 모르잖아- 그냥 조심하란 이야기지!,,,,
5,21,111,수잔,나는 그러면 이만 벨에게 가봐야겠어! 더 늦으면 어떤 소리를 들을지…,,,,
5,22,112,수잔,너도 얼른 비사에게 가봐! 지금쯤 혼자서 심통이 나있을지도 몰라,,,,5
5,23,113,,노천강당에서 기다리는 비사에게 가자,,,,
5,,114,,,,,,
6,0,115,,멧되지(or 너구리) 스미스와 대화하고 있는 비사,,,,
